No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,Total Ranjang
1,7604027,RS Bhayangkara Tkt. IV Polda Sulbar,RSU,C,POLRI,47
2,7602046,RS Bhakti Kasih,RSU,D,Perusahaan,64
3,7602045,RS Ibu dan Anak Mifta,RSIA,C,Perorangan,64
4,7604026,RS Umum Daerah Kabupaten Mamuju Tengah,RSU,D,Pemkab,65
5,7604024,RS Umum Mitra Mankarra,RSU,C,Swasta,99
6,7603024,RS Umum Daerah Kondosapata Kabupaten Mamasa,RSU,D,Pemkab,76
7,7604023,RS Umum Daerah Provinsi Sulawesi Barat,RSU,C,Pemprop,117
8,7605013,RS Umum Daerah Pasangkayu,RSU,C,Pemkab,54
9,7603022,RS Banua Mamase,RSU,Belum ditetapkan,Organisasi Sosial,44
10,7604012,RS Umum Daerah Kabupaten Mamuju,RSU,C,Pemkab,126
11,7602044,RS Umum Daerah Hajjah Andi Depu,RSU,C,Pemkab,291
12,7601011,RS Umum Daerah Kabupaten Majene,RSU,C,Pemkab,129
13,7604028,RS Ibu dan Anak Mutiara Ibu,RSIA,C,Swasta,32
14,7602048,RS Umum Daerah Wonomulyo,RSU,D,Pemkab,59
